"Theta [deg]","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='45deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='90deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='135deg'"
-169,-11.8764069041729,-11.8518749163355,-11.8457834093279,-12.0738084886028
-168.5,-11.532252508036,-11.5653074947248,-11.5944730056747,-11.806218453845
-168,-11.2007153470954,-11.2924199876001,-11.3543978753428,-11.5452588999083
-167.5,-10.8818623211356,-11.0329329565504,-11.1251053248143,-11.2908074933499
-167,-10.5756692038421,-10.786517880324,-10.9061203306615,-11.0427347023456
-166.5,-10.2820397719833,-10.5528102083067,-10.6969514502478,-10.8009035429097
-166,-10.0008205941142,-10.331419005066,-10.497094874842,-10.5651683863183
-165.5,-9.73181236909622,-10.1219339489537,-10.3060371467139,-10.3353732311845
-165,-9.47477853501936,-9.92393027002749,-10.123256944654,-10.1113497566588
-164.5,-9.22945172656815,-9.73697207482962,-9.94822625424547,-9.89291540264716
-164,-8.99553854226052,-9.56061440037434,-9.78041117299311,-9.67987166575011
-163.5,-8.77272298939506,-9.39440426059302,-9.61927255039722,-9.47200275332183
-163,-8.56066890055346,-9.23788089015294,-9.46426662481911,-9.26907470053127
-162.5,-8.35902155777343,-9.09057534876314,-9.31484578897158,-9.07083502473582
-162,-8.16740871603169,-8.95200962046732,-9.17045959130508,-8.87701296625305
-161.5,-7.98544118387551,-8.82169532438713,-9.03055605922812,-8.68732034330988
-161,-7.81271309375747,-8.69913214386321,-8.89458341025554,-8.50145303032807
-160.5,-7.64880197606035,-8.58380607828297,-8.76199219749005,-8.31909305172677
-160,-7.4932687374564,-8.47518762467357,-8.63223791536097,-8.13991126726646
-159.5,-7.34565763485509,-8.37273000309699,-8.50478406970316,-7.96357060904815
-159,-7.20549632965838,-8.27586754973386,-8.37910569289144,-7.78972981431815
-158.5,-7.07229610236913,-8.18401441292194,-8.25469326009256,-7.61804758219942
-158,-6.94555230386725,-8.0965636987733,-8.13105693741876,-7.44818706666589
-157.5,-6.82474511599661,-8.01288722253508,-8.00773106791942,-7.27982060305731
-157,-6.70934068963708,-7.93233602750937,-7.88427877832024,-7.11263455200343
-156.5,-6.59879272234443,-7.85424183277324,-7.76029656984053,-6.94633413375408
-156,-6.49254452914896,-7.77791956164346,-7.63541874199567,-6.78064811863394
-155.5,-6.39003164853009,-7.70267108232661,-7.50932149063389,-6.61533323664697
-155,-6.29068501040121,-7.62779025830026,-7.38172652186377,-6.450178171959
-154.5,-6.19393467384761,-7.55256935718187,-7.25240403279406,-6.28500701660006
-154,-6.09921411937932,-7.47630680279605,-7.12117492825155,-6.11968207235956
-153.5,-6.00596505400197,-7.39831617710754,-6.98791216921913,-5.95410591013698
-153,-5.91364265834914,-7.31793628993223,-6.85254118222577,-5.78822262111607
-152.5,-5.82172117482187,-7.23454204041238,-6.71503929722292,-5.62201822276746
-152,-5.72969970597878,-7.14755570285134,-6.57543422201208,-5.45552021323416
-151.5,-5.63710806551946,-7.05645819001728,-6.43380160122594,-5.28879629829876
-151,-5.54351250252728,-6.96079978952373,-6.29026174446214,-5.12195234403614
-150.5,-5.44852110558226,-6.86020984280544,-6.14497563901979,-4.95512963373613
-150,-5.35178868902139,-6.75440484873895,-5.99814038598106,-4.78850152836565
