"Theta [deg]","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='45deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='90.0000000000002deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='135deg'"
-37,1.58368808250605,0.679249232798709,-1.26715592057079,-4.09399073120126
-36.5,1.53213570003256,0.613148173815817,-1.3559779965651,-4.25154748243437
-36,1.4785601072918,0.544809083545665,-1.44784250734729,-4.41152237671677
-35.5,1.42292834386138,0.474217402188071,-1.54275387157991,-4.57378515873896
-35,1.36520831639989,0.401362546291002,-1.6407104565081,-4.73820100978949
-34.5,1.30536866162476,0.326238016836665,-1.74170467901092,-4.90463224677505
-34,1.24337860048979,0.248841444455045,-1.8457231122892,-5.07294017289846
-33.5,1.17920778636782,0.169174568335922,-1.95274659403402,-5.24298705603494
-33,1.11282614999385,0.0872431466066444,-2.06275033212887,-5.41463820495001
-32.5,1.04420374382989,0.00305679721771855,-2.17570400420015,-5.58776410762698
-32,0.973310588375474,-0.0833712302886053,-2.29157184763858,-5.76224259030595
-31.5,0.900116522774273,-0.172024350381704,-2.41031273707063,-5.93796095058971
-31,0.824591061862875,-0.262883001392156,-2.53188024666104,-6.11481801334067
-30.5,0.746703261576251,-0.355925065112005,-2.65622269507487,-6.29272605426416
-30,0.666421594375148,-0.451126340321847,-2.7832831714173,-6.47161253320013
-29.5,0.583713836096001,-0.548461063159613,-2.91299954100234,-6.65142157733705
-29,0.49854696535365,-0.647902466081209,-3.04530443037225,-6.83211515386179
-28.5,0.410887076353758,-0.749423366125939,-3.18012519159794,-7.01367387195755
-28,0.320699305704293,-0.852996772315153,-3.31738384653075,-7.19609735545845
-27.5,0.22794777355511,-0.958596501314581,-3.45699701234493,-7.37940412971017
-27,0.132595539149974,-1.06619778999853,-3.59887581039906,-7.56363096904421
-26.5,0.0346045706465737,-1.17577789329524,-3.74292576114853,-7.74883165448076
-26,-0.0660642711473607,-1.28731665568304,-3.88904666854769,-7.9350750945431
-25.5,-0.169451235659884,-1.40079704495826,-4.03713249807874,-8.12244276510074
-25,-0.27559767276061,-1.51620563741653,-4.18707125321838,-8.31102542672531
-24.5,-0.384546011124273,-1.63353304437594,-4.33874485578735,-8.50091907997579
-24,-0.496339725701863,-1.75277427101512,-4.49202903619853,-8.69222012030502
-23.5,-0.611023295342069,-1.87392899978386,-4.6467932401046,-8.8850196550675
-23,-0.728642151676865,-1.99700179214449,-4.80290055831804,-9.07939694582943
-22.5,-0.849242620439074,-2.1220022040843,-4.96020768710491,-9.27541194060182
-22,-0.972871856419587,-2.24894481266455,-5.11856492600769,-9.47309686392149
-21.5,-1.09957777330109,-2.37784915279541,-5.27781622019848,-9.67244683961747
-21,-1.2294089696279,-2.5087395653987,-5.43779925396838,-9.87340953398455
-20.5,-1.36241465219212,-2.64164496009149,-5.59834560129326,-10.0758738290588
-20,-1.49864455813913,-2.77659849744034,-5.75928093845139,-10.2796575707149
-19.5,-1.6381488771254,-2.91363719764845,-5.92042532238805,-10.4844944891854
-19,-1.78097817490226,-3.0528014841963,-6.08159353691604,-10.6900204658926
-18.5,-1.9271833197556,-3.19413467241692,-6.24259550691133,-10.8957594260773
-18,-2.07681541330854,-3.33768241420959,-6.40323677843648,-11.1011092771516
-17.5,-2.22992572729257,-3.48349211104507,-6.56331906023229,-11.305328491784
-17,-2.38656564802075,-3.63161230806446,-6.72264081933174,-11.5075241524979
-16.5,-2.54678663045286,-3.78209208239886,-6.88099792074629,-11.7066425243049
-16,-2.71064016393272,-3.93498043882052,-7.03818429836503,-11.9014634863868
-15.5,-2.87817775190371,-4.09032572546913,-7.19399264152173,-12.0906004011791
-15,-3.04945090816969,-4.24817508166608,-7.34821507926336,-12.2725071793603
-14.5,-3.22451117257107,-4.40857392873836,-7.50064384236411,-12.4454943431091
-14,-3.40341014928306,-4.57156551331284,-7.6510718817245,-12.6077557138607
-13.5,-3.58619957132279,-4.73719051071764,-7.79929342113925,-12.7574068690407
-13,-3.77293139526727,-4.90548669393775,-7.94510442265119,-12.8925356604969
-12.5,-3.96365793063787,-5.07648867101988,-8.08830294394613,-13.0112638546996
-12,-4.1584320088919,-5.25022769090764,-8.22868936956467,-13.1118174187109
-11.5,-4.35730719748369,-5.42673151441487,-8.36606650114891,-13.1926013261806
